Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-.02,-.63,-1.04,.80000001,-1.05,-3.1800001,-2.0599999,-1.22,-3.4000001,-.34,-1.64,-1.13
-.20999999,.37,-.14,-.60000002,-2.23,-1.92,-.46000001,-1.29,-2.29,.20999999,-.82999998,-2.45
.31,.63,-2.1700001,.12,.31,-2.3699999,.039999999,1.24,-.56,.039999999,.52999997,.30000001
-.75,-3.6300001,-.0099999998,-1.1799999,-1.5,-2.1700001,-.62,-1.3200001,-.20999999,-.82999998,-.75,-.28999999
.57999998,.93000001,-1.3099999,1.0700001,-1.28,-2.01,-1.79,-.31,-3.27,-1.46,-1.08,.37
-1.12,-.23999999,-1.62,-1.35,.34999999,.23,-1.04,-4.8899999,-.50999999,-2.5899999,-.63999999,1.46
-.61000001,.11,-1.28,-1.75,-1.25,-1.38,-2.6500001,-1.11,-2.77,.029999999,-.92000002,-.30000001
-.63,.33000001,-.66000003,2.03,-.63,-1.4400001,-1.42,-.88,-1.15,.75,-1.62,-1.92
-.27000001,-1.28,-.44999999,-2.5999999,-.46000001,-1.5,.69999999,-.039999999,2.52,-.40000001,-2.8399999,-1.01
-.97000003,-.68000001,-3.1199999,-.89999998,-.58999997,-1.66,-2.6800001,-.23,-.07,-1.7,.88,1.55
-1.83,-.51999998,-1.97,1.13,.13,-1.39,-.66000003,-2.7,.43000001,-.94999999,.66000003,-.14
-.23,-.83999997,-.16,-1.41,-1.17,.12,-.25999999,.22,-.23999999,-.15000001,1.23,.70999998
1.01,-1.3200001,-2.3299999,-1.04,-.85000002,-.47999999,1.28,-1.92,-.70999998,-1.9400001,-3.9100001,-.63999999
-1.75,-2.0599999,.54000002,-.52999997,1.5,-1.04,-2,3.4400001,-2.1199999,-.88,.050000001,-.17
-.74000001,-2.4100001,-.74000001,-.31,1.02,-.63999999,-1.9,1.4299999,-1.63,-2.8299999,-.31999999,1.25
-1.08,-.81999999,.37,-.95999998,-.50999999,-1.55,3.98,1.36,3,-1.4400001,.50999999,-.81
-.72000003,-.63999999,.81999999,-2.48,.27000001,-1,.090000004,-2.4100001,1.45,1.04,.17,-.51999998
-.0099999998,-.79000002,.34999999,-1.26,-.30000001,-1.23,-.02,-.36000001,.49000001,-2.1900001,.12,.81
-.25,.40000001,-.81,-.31,.74000001,.77999997,-1.55,-.51999998,-.63999999,1.24,-2.1900001,-1.3200001
-2.3499999,-.73000002,-.79000002,-1.22,.60000002,-1.6900001,-1.8,-.83999997,-.80000001,-.34,-.13,-1.25
1.39,-1.52,-1.38,.58999997,-.33000001,-1.65,-.34,1.79,-1.02,-1.66,-.88,1.38
-1.36,-1.49,-1.86,-.72000003,-2.27,-1.47,.18000001,-3.4000001,-2.9200001,-1.05,-1.71,-.25
-.14,-3.3599999,-1.29,-1.62,-1.46,-.039999999,-2.99,.22,-.19,-2.3099999,-.090000004,-1.1799999
-4.6300001,-.40000001,-4.79,3.6700001,-.74000001,-2.6600001,-1.53,-.059999999,.47999999,-.75999999,-2.01,-4.23
